"Treatment","Mouse","17","20","24","27","31"
"Vehicle",4717,253.352296,521.335056,892.3827015,1406.503763,2015.763392
"Vehicle",4757,205.432497,384.8768,708.0048,1128.945011,1671.341082
"Vehicle",4772,211.772264,454.406239,744.4602675,1051.7184,1441.3466
"Vehicle",4779,171.951424,293.005674,548.788292,637.2040625,806.706864
"Vehicle",4795,281.7423665,473.282109,NA,NA,NA
"Vehicle",4801,243.6377265,541.5815405,582.3933885,709.8228,1249.805295
"Vehicle",4802,272.57958,553.400784,1015.262721,1317.535183,1394.60288
"Vehicle",4808,215.717795,408.2533,823.5780905,1079.40636,1427.417039
"Palbociclib",4723,267.667232,554.4863,680.227875,1391.869494,1413.987984
"Palbociclib",4735,232.623688,590.7805875,372.7992825,NA,NA
"Palbociclib",4753,301.632768,782.176024,1088.373699,1562.36445,1562.36445
"Palbociclib",4755,200.808513,607.5300375,878.343063,941.1563525,1609.615296
"Palbociclib",4774,267.0567125,654.6591015,1021.743663,NA,NA
"Palbociclib",4780,177.446395,230.160128,452.154035,652.941728,1162.862406
"Palbociclib",4785,208.1600115,513.20328,526.754214,641.4248745,1237.062533
"Palbociclib",4786,201.522888,428.179392,646.83938,888.570864,1052.786176
"Cisplatin",4729,178.449984,303.55875,337.0193965,NA,NA
"Cisplatin",4730,195.212399,336.213504,419.6744795,609.135616,999.05855
"Cisplatin",4737,274.56,479.269028,892.515625,1163.38752,985.36392
"Cisplatin",4749,199.448968,470.1055325,504.3328,518.872698,518.872698
"Cisplatin",4762,254.57432,398.419286,521.9910495,831.05145,1299.1625
"Cisplatin",4769,302.2955235,638.4501,811.221294,1020.302896,2356.83904
"Cisplatin",4775,223.8857595,435.417984,448.659288,NA,NA
"Cisplatin",4789,227.661328,504.72395,960.0682725,1515.953475,2065.680544
"Palbociclib+Cisplatin",4725,249.0064415,483.616464,513.017712,571.4261595,600.8625
"Palbociclib+Cisplatin",4732,200.153308,289.10115,347.733,469.735286,960.135
"Palbociclib+Cisplatin",4752,211.56534,438.436384,698.647518,743.350552,523.944432
"Palbociclib+Cisplatin",4756,274.080384,496.854298,851.4001125,887.6059785,700.4172295
"Palbociclib+Cisplatin",4781,298.510625,527.450112,732.267612,755.42288,841.563672
"Palbociclib+Cisplatin",4787,186.427755,312.32896,354.65865,561.512448,738.39262
"Palbociclib+Cisplatin",4799,249.875684,496.854298,774.771712,918.627039,1079.83655
"Palbociclib+Cisplatin",4804,187.162718,290.062474,419.746817,609.929365,735.70248
